,train,val,test
000920ad0b612851f8e01bcc880d9b3d,True,False,False
001d865e65ef5d2579c190a0e0350d8f,True,False,False
002a4db09dad406c85505a00fb6f6144,True,False,False
007433133235efc27a39f11df6940829,True,False,False
00a76bfbec239fd9f465d6581806ff42,True,False,False
01642d24ac5520681d6a20f6c42dc4fe,True,False,False
01699a34381500901408ba3258f5c61a,True,False,False
019c1b40e6ec7410e8356c5d8d487954,True,False,False
01c3fb23ddaec7c51e1c0b52450bb472,True,False,False
01c816336959ee9d94b23b37b0f71f21,True,False,False
0200fa88e8c01546663b9db1726936ac,True,False,False
024ed1244a6d817358cedaea3783bbde,True,False,False
02577ddcd838f2559936453b6071dc17,True,False,False
025a65c53cd655151b9ff1b9518aa27e,True,False,False
026081211406349c85c3e5b4fc4b6ff0,True,False,False
02a3870e56dbcb6afd73546af54a8457,True,False,False
0325d6b779870b7bd216f3a81f6ab3d7,True,False,False
035587e63d72f8537b3fce5067bb18df,True,False,False
035a5208729ef164213954598b8df75d,True,False,False
035b1edd3d1aeeffc77ce5d248a01a53,True,False,False
037504061b9fba71ef6e24c48c6df44d,True,False,False
037f29b7d62479c7fb257903f401269a,True,False,False
03cbe5d39233a65cd7f64a81094ccc54,True,False,False
0452381085998676ae1e3c877df5bd4d,True,False,False
0470680842880ac7493bbf5e7cfbc26b,True,False,False
04952a4d6f0309a8a317a56ad88d9145,True,False,False
0497647d8124c3a7f498c89204b7afe2,True,False,False
04b66a150ef667f328aa378e1ee8d750,True,False,False
04cc6bb8a2b8b3620e4f1b01af1e8269,True,False,False
0532c61a5b3b8223b42bc62b6fac4a48,True,False,False
056990e94a55a9bc73f7ffc0a6f8080f,True,False,False
0583f220404a873c7f288d1d908dec96,True,False,False
059cbf902c5e42972587c8d17d49efed,True,False,False
05cc3233dcb5489d2333ee62339a3226,True,False,False
05f15be5254b9dc5c8ad24400448d00a,True,False,False
06005debf8e7e498384b383c018e1127,True,False,False
060f60eeecf1ab502526a34db9caaf8e,True,False,False
060fb11087bfa2be0b810fad986328c2,True,False,False
063db632c0ad279c9602070bea1d8dae,True,False,False
06521bf2287ba40f046dcabc6c9dddc1,True,False,False
065762b2ae186afcf91bbedc81142ef4,True,False,False
067bc8b33f5a6415e4f4ef61bef2bcd5,True,False,False
068067cb3873af5f4dcc3e5859b57991,True,False,False
06977be07ef2afb3ddfa7733f0c04917,True,False,False
06a0cbd8fd6320ef1aa6f19342af2e68,True,False,False
06a6be84f9a7b7669f27956175566d90,True,False,False
06eda4a6faca84e84a781fee2d5f47e1,True,False,False
06ef49a7b77e883f089cfdd80642d6f0,True,False,False
06f3b1ddd71638119ffccf20d386d0f9,True,False,False
06f714d78f6f5c545cd149cf71c7c1c1,True,False,False
0716c93c57221da6de731b0df342a641,True,False,False
071adc8288cc111233b74980684c3552,True,False,False
072fc649567e358ff3c69f6e5c1f630f,True,False,False
07809f40e0b2b07d9c4b9d6600673102,True,False,False
07a9af222e35aa6ff2afbdbd38ab893e,True,False,False
07c9784228dc2ad0b00d2cecd8ca32ce,True,False,False
07d138144a7db2828e4e4efb8e144561,True,False,False
07e81d2eee07982de62cd5b303d19872,True,False,False
07f1c3248162f27276cc1ce3a262f05d,True,False,False
0849749bd2b9fc46b88a56b4c47e4093,True,False,False
0896c0e0ee1979a0075927acb663f2a4,True,False,False
08a3bce609b63cb12dbd833319fb177e,True,False,False
08a8d48ec979f002383f336d988673ca,True,False,False
08b1c6fbb511776ac028b0a5c9e42ad2,True,False,False
08fb451c085cb309fdd5c2650070185f,True,False,False
09271f0045c19ac6179771054455b2ce,True,False,False
0954f0bb123cf3be8b00c9c989dcf3d6,True,False,False
0960b0d7aa0b3c3cb95acb72e8bcf4e1,True,False,False
09a6f9c1f4102521c8bd55871eb857f6,True,False,False
09af7bbed13916dc55c9b90279ac1cd6,True,False,False
09fc43e064588dca30345bf48cea81a8,True,False,False
0a97bd73cd153b33751d43821ff0a400,True,False,False
0ab626bb7e1eb8c7b1eb6ac3fb129349,True,False,False
0ac7f7d40895378ae07006510aaca8de,True,False,False
0b6a90e1c27bf54488c1f7697c6ce599,True,False,False
0b6d642c9b160678dcfff095c21ce09f,True,False,False
0b6e34bf65ee0810c1a4bf702b667c88,True,False,False
0bd8e31343eeb3a3d57effeb507c9a91,True,False,False
0c02d3bb3a62519b31c63d0301c6843e,True,False,False
0c086008cc6c8c8da93106b67d336b8f,True,False,False
0c184eef4691e624de23e7b3d6a50025,True,False,False
0c2964f57d972f4cadc28f5cdbe95f48,True,False,False
0c5170ccdfd5405de0600d2c25850dac,True,False,False
0c63ad44d6bc717dcf0c965d1284d503,True,False,False
0c74834f412d04ad87c230fc337d9e80,True,False,False
0c782b90b01085cd1c390076363c6fe6,True,False,False
0c81adeb18c3a36eebc21d53a2052798,True,False,False
0c81fb679d464543822f9b5c59aef5a0,True,False,False
0c9045b2cc21942d866067874807cad8,True,False,False
0cc2bae4e8f80349576daadd44897024,True,False,False
0cc35bc0fe4dd912b20f72d66888fd49,True,False,False
0ce4ad46cffd5d3be84513fad62dded7,True,False,False
0cf00319764b0a06dc1b0dbdfe877c45,True,False,False
0d3a60962ae62416519dd9f4c1f172a0,True,False,False
0d495f9f23cac774653c41214c574425,True,False,False
0d88608b8268cef169385e0d7dd43903,True,False,False
0db426156d588a5bb0b6036ac0465be0,True,False,False
0df6fef657c83392baa2bc0c89880615,True,False,False
0e01dca6be914ca5159e6d6bbd9b9468,True,False,False
0e187aa3c8dd29c41e92af60d2dfb7e5,True,False,False
0e1d010df72414d8873b594afd64a34b,True,False,False
0e212c3ff7bf9120a46c2f56b67f7f20,True,False,False
0e65f90aa2b3fd3e49982839aa381583,True,False,False
0e6670ba0c2f6a57e6af57d1a5def196,True,False,False
0eacb18986da2b25c5d82bd9676536e0,True,False,False
0eb6bb946906a834fb91bfd5fc0f720d,True,False,False
0ef695aff0f8378645f8de807856cc0c,True,False,False
0f39f5898c4efb71453313f528f70c9d,True,False,False
0f7e1771e31bc1e8fb2014f9aa23cf98,True,False,False
0f955260121c6c2f54e1301e8c738153,True,False,False
0fb9b3a05b5cdf37f6c20513c4075d3c,True,False,False
0fdc638497683fff29f753e08a347200,True,False,False
0febce723014e9ed2afe3bf5325775cc,True,False,False
0ffe691b5af61da422c79762c902ba78,True,False,False
101a772946573d407bb440a3e38c5684,True,False,False
103b9b34a5c6a68bccd320b924513711,True,False,False
106b34c5c7cef8e43594524c9fd1c999,True,False,False
1085993bc2b29373d30b5d0ef0c549fd,True,False,False
1097d143ba39545d1ccee8e240044902,True,False,False
10b00bbaff7224b83537ccb02e7e1416,True,False,False
10cb295e2db9ac2cd1f32523b401d95a,True,False,False
11312ffaf33b8252eef70f9274d540ac,True,False,False
11685dcddfbc26b1c8dded45957469dd,True,False,False
117683a5298a7f5f8832b85c3e827750,True,False,False
117e082dcd41f3e3244100693ceef2b8,True,False,False
11c5d0603ad03546001b684977df9993,True,False,False
1204e417143ace066318e750b4700df5,True,False,False
120b29f7213f43ccb8472fdc9d2845e7,True,False,False
1214680ab7c7ce4d1cc89b78a96010b8,True,False,False
1215adafbc41adff149c6ab127598917,True,False,False
1216c13ad2394eb1dc3206c8622418f8,True,False,False
1237190a840ad3929f3c8568be55df9e,True,False,False
124c10bdb11d578dbff37e79de0a7ca2,True,False,False
12691983b96a9e8c7bc067fdd48b8d97,True,False,False
1355acd8e4798125a040dd6d61578b1a,True,False,False
1364e13447099b5f287c9e44768e2c8e,True,False,False
13707d91437e3023c635b4a1c5c25185,True,False,False
138385f6db299b22afc13ea6da682c8d,True,False,False
1392751dc2ff4e148c89fe975c5a505b,True,False,False
139aa5db6376a70044c4c6dd6f4a6666,True,False,False
139e1e89bca7897799f80da93adcd3c7,True,False,False
13a8fe60e02b607f947bc9495821b1a6,True,False,False
13ab419e772cf0dd8140f34f905bd918,True,False,False
13e54c704fc23b77d23ea515c16bc955,True,False,False
13f6953762b4d8fd146b19d2b7514832,True,False,False
1438f19e07c389b47fd5219ca62f9f0a,True,False,False
144b7114a9ffe98d0318301946629813,True,False,False
144fdfa6434011495a994327bff50aa0,True,False,False
1453f0c51c9d2fe1a8ca6711d11b1608,True,False,False
146b34839149849ceb98aa7b9bd7edcd,True,False,False
14820c513b48eaf1025e6d876ea87d52,True,False,False
14be156bb67b73f034b0c326e4b973d0,True,False,False
1570eb633e568a39a3da4477f9620c5d,True,False,False
15a9c0953b407dec51daa965eb0a1db1,True,False,False
15adbda27f36bcbb0cd4cec566db82a9,True,False,False
15bf6b34c8ce10b0eddf687e3a670e4d,True,False,False
163c22cdbba739e4c063ab9fc4314d6a,True,False,False
16ef750c637aff5133cac9c3c5176431,True,False,False
170c91c206648c545cfe69c718c059f2,True,False,False
172fa84ffb4f92d432e8a805dd772a01,True,False,False
17364682bc0141eab397828f49642a60,True,False,False
1736f312a48e3f3129f0251edeaa893e,True,False,False
175dca62ef815a4e6d053c230fddec9e,True,False,False
177373821195cf33e7bc4c8bcd089a2e,True,False,False
