,train,val,test
0,TCGA-3Z-A93Z-01Z-00-DX1.79F4D1A6-ACDB-4AB1-B8A8-C1CEE617C734,TCGA-B0-4842-01A-02-BS2.20d7a3a3-7073-4fc1-a562-f80b35b2c58f,TCGA-CJ-5681-01A-01-TS1.c05ad447-c6ef-44c5-b7a2-42d438d7e9f4
1,TCGA-6D-AA2E-01A-01-TSA.FD152D89-2892-4DE1-90BF-AC40CF13A4F4,TCGA-BP-5168-01A-01-TS1.2d8e15a4-b4c5-49c8-9946-6339e7bc1828,TCGA-CJ-4643-01A-01-BS1.24ab1ed1-a828-4ac8-802e-0a0ac13b9db6
2,TCGA-A3-3306-01A-01-BS1.ef6c8f90-9706-49b4-b268-299f64d4ad79,TCGA-BP-4959-01A-01-BS1.70061e2e-8272-4c46-b3c5-d5c8201dd8bf,TCGA-B0-5095-01Z-00-DX1.4f173713-aa67-458f-82b5-7d2a46b7fb29
3,TCGA-A3-3308-01A-01-BS1.8399fb8b-53a2-4873-a9df-e1d889cc8cd3,TCGA-AK-3440-01A-01-BS1.ceabca88-ecca-4abb-84f1-984ad0f8d55c,TCGA-CJ-5684-01A-01-BS1.d6975937-3ae5-4412-8a2d-b753d97659f0
4,TCGA-A3-3311-01A-02-BS2.08cbd97a-3aaa-4b4b-b24e-5415c201cb39,TCGA-A3-3325-01Z-00-DX1.53D2B035-AD02-4B52-803B-1CE584C59175,TCGA-CJ-4893-01A-01-BS1.b8c00259-4e8d-46c4-afad-a1f7ea82eea0
5,TCGA-A3-3313-01A-02-BS2.c90d3ea0-6eed-4711-b617-4195da87c2be,TCGA-CJ-4916-01A-01-TS1.4b34ddbd-57ce-4c8c-988b-6eb1f2969908,TCGA-B0-5697-01Z-00-DX1.45952baf-6ceb-475e-8d04-0a97adf37cf6
6,TCGA-A3-3316-01Z-00-DX1.d6248cf8-7b02-4dce-8c91-1b91751cf1ee,TCGA-CW-5584-01A-01-BS1.be742dcb-78fe-4adf-910f-f4706e2c9469,TCGA-CW-5581-01A-01-BS1.9b5821de-2c19-4895-b2ab-d907296cabf2
7,TCGA-A3-3317-01A-02-BS2.de18fab0-8419-4262-9138-e8d1c81cb1b7,TCGA-DV-5565-01A-01-TS1.1cc9517f-0eac-477f-8143-2e84478b8300,TCGA-DV-A4VX-01Z-00-DX1.9E7036DB-6DD7-4D25-93BD-298206C85EDA
8,TCGA-A3-3319-01A-02-BS2.4f52437b-da24-4c31-86f4-4173e279bb70,TCGA-BP-4758-01A-01-BS1.7a4a4e07-5e39-4642-8018-cb5f7c79a372,TCGA-BP-4340-01Z-00-DX1.29f86b4c-2e25-4279-90ac-c147b3b5fb89
9,TCGA-A3-3320-01A-02-BS2.050de1b6-4a2a-4d71-be42-5c4213b33abe,TCGA-DV-5569-01A-01-TS1.a55d4c7d-6fb9-4cc2-b159-cea822d4cfde,TCGA-AK-3454-01A-01-BS1.6301c221-2f31-479c-9532-b48550ad7aef
10,TCGA-A3-3322-01A-01-TS1.a16cf9e1-1d4a-4744-abc8-1ea959d59861,TCGA-B0-5696-01A-01-TS1.572645f2-82ec-43c7-ba7f-7d62428b4a73,TCGA-B0-5812-01A-01-TS1.7a442205-e620-4755-912b-fd31e7d59d56
11,TCGA-A3-3324-01A-01-BS1.671204d4-ceb8-4ebe-8a8b-e576e25eec5e,TCGA-A3-3357-01A-02-BS2.107f636a-dbe1-4673-8fc6-61c2f5b05dd5,TCGA-B0-5107-01A-01-BS1.d882c53c-ff64-4365-ad11-816b430c3927
12,TCGA-A3-3326-01A-01-TS1.ff9f4bed-188f-4c97-979b-e790f4a5c6e4,TCGA-CW-5591-01A-01-BS1.7d492742-715e-403f-9a9a-8a0836fd51fa,TCGA-CW-6087-01A-01-BS1.39a19451-502d-4ffe-bced-1b8fb0da570b
13,TCGA-A3-3328-01Z-00-DX1.8FA7DFCD-D6FD-4950-9E44-E5AB0B91E33D,TCGA-BP-5000-01A-01-BS1.cba99bf3-4e0b-45ed-8206-e809c0720520,TCGA-CZ-4860-01Z-00-DX1.4e1e4ab7-d82d-437e-a403-5e4cc2647751
14,TCGA-A3-3329-01Z-00-DX1.4da187d6-f0d4-4f4b-95d3-c12d660d4bb2,TCGA-DV-5576-01Z-00-DX1.ddd18b71-fc48-40f7-bc87-fb50d9ff468c,TCGA-A3-3331-01A-01-TS1.d69adee0-7809-49c1-8f32-4250d5f65980
15,TCGA-A3-3335-01A-01-TS1.2f75ad51-f890-475e-8b1f-c6e98cffe1b1,TCGA-B0-4815-01A-01-TS1.24541590-fdf9-4f7d-b6dd-9f4a06d97780,TCGA-B2-5641-01A-01-TS1.18c3cfa7-6f80-4b72-9ab0-2abeb30fd9f0
16,TCGA-A3-3336-01A-01-TS1.a5c05841-a537-4b50-a71d-63ce5adf04fe,TCGA-B2-4099-01Z-00-DX1.c0aa462a-083d-4db8-af8f-37b45a544c8b,TCGA-B0-4814-01A-01-TS1.3eb5e5cd-520e-4528-b7fd-c96438533164
17,TCGA-A3-3343-01A-01-TS1.caaeb264-746d-4154-bb93-d918fd2cf7c4,TCGA-B0-5694-01A-01-TS1.caa2f135-ae96-4795-ac70-82043eda6c5a,TCGA-B0-4706-01A-01-TS1.1d3049ed-b108-4057-a32d-c8b462c7e548
18,TCGA-A3-3346-01A-01-BS1.e416683e-737c-413a-865e-2395a026819e,TCGA-CZ-5452-01A-01-TS1.9c59246f-a058-47df-a860-3e4a361bd13d,TCGA-CJ-4869-01A-01-BS1.5d433e5d-816a-4604-a6f5-e806a87413da
19,TCGA-A3-3347-01A-01-BS1.cfde2904-c7cf-42ab-b514-5b95b178dd9c,TCGA-BP-4781-01A-01-BS1.e07e12b3-c573-4e3b-a6bb-9dcde522aa58,TCGA-B0-4810-01A-01-BS1.48143087-b440-4f48-8f17-40c9a2a71006
20,TCGA-A3-3351-01A-01-TS1.39ba22b2-84af-4329-a8b8-674d0efa8736,TCGA-BP-5181-01A-01-BS1.0397fc29-58b2-4b82-8846-c7ac32d4f09b,TCGA-B0-5702-01A-01-BS1.bc648915-8f6e-440b-a4f6-212a7adbffed
21,TCGA-A3-3352-01Z-00-DX1.a2f02c84-0201-417c-a719-7964f5fbfd3c,TCGA-BP-4770-01A-01-BS1.56fac67d-6b0e-457d-9206-267816a72cbf,TCGA-A3-3373-01A-02-BS2.7fada3c5-8324-4afb-baea-fe8974d5dff4
22,TCGA-A3-3358-01A-01-TS1.461245d8-0ac1-4bf2-8433-9414fdda0831,TCGA-CJ-4890-01Z-00-DX1.4CD542E0-5057-477E-B578-17FE98A503FD,TCGA-AK-3455-01A-01-TS1.db7cbc9a-260b-45ba-a7b5-b3b2c77d0def
23,TCGA-A3-3359-01Z-00-DX1.D473A2D2-AE66-469D-80A1-584598335E17,TCGA-B0-5710-01A-01-BS1.ed81c4c8-d8f7-45e8-b5da-401e86162f59,TCGA-B0-4699-01Z-00-DX1.18b6d6e7-6e37-4bcd-922c-ce81e2e81067
24,TCGA-A3-3362-01A-01-TS1.3cf734b2-0cba-477e-803e-5d97306b511c,TCGA-B8-4621-01Z-00-DX1.1b685a91-fb7c-4803-b6c9-3891234d197d,TCGA-BP-4352-01A-01-BS1.87f2aacc-c4f9-49a8-baa4-21f240dde9f4
25,TCGA-A3-3363-01A-01-TS1.148324da-14ff-459f-a14c-9a67ef608a0d,TCGA-BP-4988-01A-01-TS1.34f3789f-6c9f-4f7d-a59f-f5cfeefe1d6e,TCGA-B0-4818-01Z-00-DX1.b5b74b2d-0d2f-40b3-81c9-e2b570da5918
26,TCGA-A3-3365-01Z-00-DX1.dc5b8d77-b5ba-47c8-b536-a8f1ed458ed3,TCGA-CZ-4856-01A-01-BS1.ac60a874-b094-43d1-9649-5a0b2eed7165,TCGA-A3-A8OW-01A-01-TS1.E02DBEB4-82BD-45D4-8C4C-B679E0F94B1B
27,TCGA-A3-3367-01A-02-BS2.45d798d5-5f36-4246-bf46-282c1bac55e6,TCGA-BP-5192-01A-01-TS1.01fe20f1-3263-4c3d-9c5b-58d09049fe66,TCGA-A3-A8OU-01Z-00-DX1.5BF363CE-9DB1-40BB-9E77-CF930F12B1B8
28,TCGA-A3-3372-01A-01-TS1.f9a8a3d4-4342-45a5-bdc3-38c2822a4f73,TCGA-B0-5085-01Z-00-DX1.29c82ff0-9e4d-477f-a8d9-8931c69e58f8,TCGA-CW-6096-01A-01-BS1.e556cce0-0f84-494a-8dc4-ead02d9ebcbe
29,TCGA-A3-3374-01Z-00-DX1.560b8f9f-5195-43e0-be52-73aede19e077,TCGA-CJ-4878-01A-01-BS1.2d13b6c2-3319-4087-997f-81c1ee14f0cc,TCGA-A3-3307-01Z-00-DX1.E9BB41BE-9F96-49A7-8164-A7E715A00EB9
